City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,la gloria,8.6187,-73.8027,33.83,51,7,0.3,CO,1701114052
83,lebu,-37.6167,-73.65,14.66,82,81,3.11,CL,1701114052
84,hiratacho,35.4333,132.8167,11.01,73,100,8.73,JP,1701114052
85,ushuaia,-54.8,-68.3,14.79,33,0,4.12,AR,1701114004
86,altay,47.8667,88.1167,-1.86,54,25,3.39,CN,1701114052
87,touros,-5.1989,-35.4608,27.11,74,5,5.43,BR,1701114052
88,stanley,54.868,-1.6985,5.66,93,75,8.23,GB,1701114053
89,portland,45.5234,-122.6762,9.99,59,20,5.81,US,1701113887
90,crane,31.3974,-102.3501,11.4,31,100,5.09,US,1701114053
91,talnakh,69.4865,88.3972,-24.14,99,78,3.69,RU,1701114053
92,kodiak,57.79,-152.4072,0.73,75,40,2.06,US,1701114053
93,sao paulo de olivenca,-3.3783,-68.8725,29.74,68,97,0.57,BR,1701114053
94,ixtapa,20.7,-105.2,28.46,61,100,1.54,MX,1701114053
95,suva,-18.1416,178.4415,25.71,94,75,2.06,FJ,1701114053
96,ponta delgada,37.7333,-25.6667,18.4,88,75,3.09,PT,1701114053
97,port saint john's,-31.6229,29.5448,20.91,88,8,2.35,ZA,1701114053
98,dubbo,-32.25,148.6167,19.07,82,100,3.6,AU,1701114053
99,san luis de la loma,17.2706,-100.8939,29.6,65,100,3.28,MX,1701114053
100,olonkinbyen,70.9221,-8.7187,2.01,89,88,8.99,SJ,1701114053
101,anadyr,64.75,177.4833,0.28,80,0,7.0,RU,1701114053
102,st. john's,47.5649,-52.7093,3.32,76,75,4.12,CA,1701113969
103,muroto-misakicho,33.2833,134.15,16.97,71,10,7.58,JP,1701114054
104,bandar-e anzali,37.4727,49.4622,17.06,84,15,6.66,IR,1701113925
105,trincomalee,8.5711,81.2335,27.58,80,100,6.19,LK,1701114054
106,xishan,27.6667,113.5,11.49,79,0,0.84,CN,1701114054
107,ust'-kut,56.7938,105.7672,-19.78,100,98,1.05,RU,1701114054
108,sao vicente,-23.9631,-46.3919,28.1,63,100,1.54,BR,1701113996
